condition,label,coef_locked_from_tune,cosine_role_caa,delta_full,delta_caa_component,delta_residual,fraction_from_caa_component,fraction_from_residual,error_source
collaborator,Collaborator,500.0,0.16481372714042664,0.0502256953716278,0.49328124682108565,-0.04406248331069951,9.821292531068417,-0.8772896618886863,multiseed_n3
facilitator,Facilitator,-5000.0,0.14594495296478271,-0.7218750010596382,-0.9760416746139526,-0.6026041889190674,1.352092361116847,0.8347763643768056,multiseed_n3
assistant_axis,Assistant Axis,2000.0,-0.08600328862667084,-0.3702604394488864,-0.8788541587193808,-0.27161454041798916,2.3736107482276796,0.7335769946750816,multiseed_n3
judge,Judge,2000.0,0.08541703969240189,-0.5513021024068196,0.4795832947889964,-0.6205208665132522,-0.8699101503427605,1.1255550519474609,multiseed_n3
pacifist,Pacifist,2000.0,0.07565366476774216,0.10505207113921644,0.4795832947889964,-0.008229167014360383,4.565195998405839,-0.07833417204554662,multiseed_n3
peacekeeper,Peacekeeper,5000.0,0.06511015444993973,-0.04645833841214564,0.4795832947889964,-0.1472916695475578,-10.322867997009952,3.170403302866536,multiseed_n3
skeptic,Skeptic,2000.0,0.0640062540769577,-0.7056944488816792,0.4795832947889964,-0.7462499892711639,-0.6795905728732835,1.0574689803125892,multiseed_n3
contrarian,Contrarian,1000.0,0.032646119594573975,-0.2809722375207476,0.4795832947889964,-0.3275000103314718,-1.706870753568964,1.165595623330182,multiseed_n3
scientist,Scientist,2000.0,0.004034317098557949,-0.5034201494190428,0.4683333349227905,-0.5225000111262004,-0.9303031185050038,1.0379004728538899,multiseed_n3
devils_advocate,Devil's Advocate,2000.0,0.003016835078597069,-0.5155555446942648,0.4808333532015483,-0.5431250031789143,-0.9326509202547565,1.0534752438769692,multiseed_n3
