condition,label,expected_direction,best_coef_tune,baseline_logit,best_logit_test,delta_logit,std_logit_multiseed,n_seeds,baseline_rate,best_rate_test,delta_rate_pp,wilcoxon_alt,wilcoxon_p_raw,wilcoxon_p_adj,wilcoxon_p_two_sided,significant_after_mcc,degraded_at_best
assistant_axis,Assistant Axis,decrease,2000.0,1.0094791746139526,0.6392187351650662,-0.3702604394488864,0.03160439342766084,multiseed,0.5933333333333334,0.55,-4.333333333333334,less,< 1e-15,< 1e-15,< 1e-15,True,False
caa,CAA (targeted),decrease,-2000.0,1.0094791746139526,0.1351388957765367,-0.8743402788374159,0.014194718594756206,multiseed,0.5933333333333334,0.5033333333333333,-9.000000000000007,less,< 1e-15,< 1e-15,< 1e-15,True,False
devils_advocate,Devil's Advocate,decrease,2000.0,1.0094791746139526,0.4939236299196879,-0.5155555446942648,0.028111558716880494,multiseed,0.5933333333333334,0.51,-8.333333333333337,less,< 1e-15,< 1e-15,< 1e-15,True,False
contrarian,Contrarian,decrease,1000.0,1.0094791746139526,0.728506937093205,-0.2809722375207476,0.006715600529699568,multiseed,0.5933333333333334,0.58,-1.333333333333342,less,1.96439e-10,9.82194e-10,3.92878e-10,True,False
skeptic,Skeptic,decrease,2000.0,1.0094791746139526,0.3037847257322735,-0.7056944488816792,0.027211492261272934,multiseed,0.5933333333333334,0.5,-9.333333333333337,less,< 1e-15,< 1e-15,< 1e-15,True,False
judge,Judge,decrease,2000.0,1.0094791746139526,0.45817707220713294,-0.5513021024068196,0.013036752677677439,multiseed,0.5933333333333334,0.5033333333333333,-9.000000000000007,less,< 1e-15,< 1e-15,< 1e-15,True,False
scientist,Scientist,decrease,2000.0,1.0094791746139526,0.5060590251949099,-0.5034201494190428,0.005292631832352048,multiseed,0.5933333333333334,0.5233333333333333,-7.000000000000006,less,< 1e-15,< 1e-15,< 1e-15,True,False
peacekeeper,Peacekeeper,increase,5000.0,1.0094791746139526,0.963020836201807,-0.04645833841214564,0.017935652700135453,multiseed,0.5933333333333334,0.5,-9.333333333333337,greater,0.999715,1,0.000569271,False,True
pacifist,Pacifist,increase,2000.0,1.0094791746139526,1.114531245753169,0.10505207113921644,0.012737755276128939,multiseed,0.5933333333333334,0.6166666666666667,2.3333333333333317,greater,0.0181218,0.0543653,0.0362435,False,False
collaborator,Collaborator,increase,500.0,1.0094791746139526,1.0597048699855804,0.0502256953716278,0.00883672620544425,multiseed,0.5933333333333334,0.6266666666666667,3.3333333333333326,greater,0.000472633,0.00189053,0.000945267,True,False
facilitator,Facilitator,increase,-5000.0,1.0094791746139526,0.2876041735543145,-0.7218750010596382,0.019244339257534233,multiseed,0.5933333333333334,0.5033333333333333,-9.000000000000007,greater,1,1,< 1e-15,False,False
random_0,Random 0,unsigned,0.0,1.0094791746139526,1.0094791746139526,0.0,,,0.5933333333333334,0.5933333333333334,0.0,,,,,False,False
